Seq ID,Ribosome,Cytosol,ER,Membrane,Nucleus,Exosome
Gene_ID:83439,No,No,Yes,No,Yes,Yes
Gene_ID:5727,No,Yes,Yes,No,Yes,Yes
Gene_ID:5236,No,Yes,Yes,No,No,No
Gene_ID:2745,No,No,No,No,No,No
Gene_ID:4711,No,Yes,Yes,No,Yes,No
